Height,lat,lon,IIiii,RR
8410,28,119.3666667,K9022,95
8410,28,119.3666667,K9022,122
8410,28,119.3666667,K9022,31
8410,28,119.3666667,K9022,35
8410,28,119.3666667,K9022,4
8410,28,119.3666667,K9022,9
8360,27.95,119.7833333,K9344,84
8360,27.95,119.7833333,K9344,35
8360,27.95,119.7833333,K9344,40
8360,27.95,119.7833333,K9344,35
8360,27.95,119.7833333,K9344,53
8360,27.95,119.7833333,K9344,86
8360,27.95,119.7833333,K9344,25
8340,27.91666667,120.0166667,K3148,39
8340,27.91666667,120.0166667,K3148,48
8340,27.91666667,120.0166667,K3148,69
8340,27.91666667,120.0166667,K3148,36
8340,27.91666667,120.0166667,K3148,41
8340,27.91666667,120.0166667,K3148,9
8340,27.91666667,120.0166667,K3148,8
8310,28.18333333,119.7833333,K9006,225
8310,28.18333333,119.7833333,K9006,117
8310,28.18333333,119.7833333,K9006,185
8310,28.18333333,119.7833333,K9006,203
8310,28.18333333,119.7833333,K9006,280
8310,28.18333333,119.7833333,K9006,300
8310,28.18333333,119.7833333,K9006,152
8302,27.48333333,119.9333333,K3287,77
8302,27.48333333,119.9333333,K3287,8
8302,27.48333333,119.9333333,K3287,14
8302,27.48333333,119.9333333,K3287,11
8302,27.48333333,119.9333333,K3287,18
8302,27.48333333,119.9333333,K3287,1
8302,27.48333333,119.9333333,K3287,1
8300,29.49,120.46,K6293,65
8300,29.49,120.46,K6293,34
8300,29.49,120.46,K6293,87
8300,29.49,120.46,K6293,107
8300,29.49,120.46,K6293,62
8300,29.49,120.46,K6293,49
8300,29.49,120.46,K6293,72
8291,27.85,119.5333333,K9220,56
8291,27.85,119.5333333,K9220,45
8291,27.85,119.5333333,K9220,40
8291,27.85,119.5333333,K9220,14
8291,27.85,119.5333333,K9220,22
8291,27.85,119.5333333,K9220,6
8291,27.85,119.5333333,K9220,17
8250,28.91639,120.7275,K8945,142
8250,28.91639,120.7275,K8945,122
8250,28.91639,120.7275,K8945,157
8250,28.91639,120.7275,K8945,155
8250,28.91639,120.7275,K8945,182
8250,28.91639,120.7275,K8945,273
8250,28.91639,120.7275,K8945,363
8205,29.71666667,121.0833333,K2631,40
8205,29.71666667,121.0833333,K2631,69
8205,29.71666667,121.0833333,K2631,145
8205,29.71666667,121.0833333,K2631,229
8205,29.71666667,121.0833333,K2631,193
8205,29.71666667,121.0833333,K2631,179
8205,29.71666667,121.0833333,K2631,66
8180,27.96666667,120.0666667,K3149,82
8180,27.96666667,120.0666667,K3149,98
8180,27.96666667,120.0666667,K3149,133
8180,27.96666667,120.0666667,K3149,73
8180,27.96666667,120.0666667,K3149,35
8180,27.96666667,120.0666667,K3149,28
8180,27.96666667,120.0666667,K3149,14
8140,29.65,120.9833333,K4612,13
8140,29.65,120.9833333,K4612,49
8140,29.65,120.9833333,K4612,93
8140,29.65,120.9833333,K4612,108
8140,29.65,120.9833333,K4612,69
8140,29.65,120.9833333,K4612,111
8140,29.65,120.9833333,K4612,58
8130,27.9,119.9,K3277,36
8130,27.9,119.9,K3277,12
8130,27.9,119.9,K3277,31
8130,27.9,119.9,K3277,21
8130,27.9,119.9,K3277,20
8130,27.9,119.9,K3277,18
8130,27.9,119.9,K3277,7
8110,27.88333333,120.0833333,K3723,41
8110,27.88333333,120.0833333,K3723,65
8110,27.88333333,120.0833333,K3723,51
8110,27.88333333,120.0833333,K3723,41
8110,27.88333333,120.0833333,K3723,33
8110,27.88333333,120.0833333,K3723,14
8110,27.88333333,120.0833333,K3723,6
8090,27.86666667,119.6833333,K9309,170
8090,27.86666667,119.6833333,K9309,66
8090,27.86666667,119.6833333,K9309,76
8090,27.86666667,119.6833333,K9309,44
8090,27.86666667,119.6833333,K9309,98
