,Height,lat,lon,IIiii,RR
1826,3310,29.4,120.3833333,K6105,21
2551,3310,27.73333333,119.3666667,K9068,5
2674,3310,28.63333333,120.2666667,K9208,120
2709,3310,27.88333333,119.5,K9244,56
2779,3310,28.1,119.6333333,K9331,179
4685,3310,29.55,119.8833333,K6031,225
4759,3310,29.4,120.3833333,K6105,19
5482,3310,27.73333333,119.3666667,K9068,45
5605,3310,28.63333333,120.2666667,K9208,158
5640,3310,27.88333333,119.5,K9244,81
5710,3310,28.1,119.6333333,K9331,41
7625,3310,29.55,119.8833333,K6031,27
7699,3310,29.4,120.3833333,K6105,44
8422,3310,27.73333333,119.3666667,K9068,20
8545,3310,28.63333333,120.2666667,K9208,162
8580,3310,27.88333333,119.5,K9244,51
8650,3310,28.1,119.6333333,K9331,29
10557,3310,29.55,119.8833333,K6031,46
10631,3310,29.4,120.3833333,K6105,50
11355,3310,27.73333333,119.3666667,K9068,10
11478,3310,28.63333333,120.2666667,K9208,153
11513,3310,27.88333333,119.5,K9244,5
11583,3310,28.1,119.6333333,K9331,38
13484,3310,29.55,119.8833333,K6031,86
13558,3310,29.4,120.3833333,K6105,17
14280,3310,27.73333333,119.3666667,K9068,1
14403,3310,28.63333333,120.2666667,K9208,116
14438,3310,27.88333333,119.5,K9244,12
14508,3310,28.1,119.6333333,K9331,56
16407,3310,29.55,119.8833333,K6031,96
16481,3310,29.4,120.3833333,K6105,20
17201,3310,27.73333333,119.3666667,K9068,4
17322,3310,28.63333333,120.2666667,K9208,77
17357,3310,27.88333333,119.5,K9244,4
17427,3310,28.1,119.6333333,K9331,41
19333,3310,29.55,119.8833333,K6031,50
19407,3310,29.4,120.3833333,K6105,31
20128,3310,27.73333333,119.3666667,K9068,0
20250,3310,28.63333333,120.2666667,K9208,163
20285,3310,27.88333333,119.5,K9244,19
20355,3310,28.1,119.6333333,K9331,11
1431,3300,29.4,120.68,K4673,36
1434,3300,29.62,121.08,K4676,53
1811,3300,29.63333333,119.8333333,K6090,70
1882,3300,29.23333333,120.2,K6170,18
2002,3300,29.25,118.1166667,K7003,2
4363,3300,29.4,120.68,K4673,27
4366,3300,29.62,121.08,K4676,90
4744,3300,29.63333333,119.8333333,K6090,159
4815,3300,29.23333333,120.2,K6170,12
4935,3300,29.25,118.1166667,K7003,1
7303,3300,29.4,120.68,K4673,104
7306,3300,29.62,121.08,K4676,162
7684,3300,29.63333333,119.8333333,K6090,53
7755,3300,29.23333333,120.2,K6170,36
7875,3300,29.25,118.1166667,K7003,6
10235,3300,29.4,120.68,K4673,55
